t, x1, x2
1, 1, 4
1.1, 1.46, 5.3061224
1.2, 2.0630089, 6.8716176
1.3, 2.8361294, 8.7198786
1.4, 3.8088082, 10.874363
1.5, 5.0128407, 13.358564
1.6, 6.4823728, 16.195992
1.7, 8.2539027, 19.410173
1.8, 10.366281, 23.024636
1.9, 12.860713, 27.062917
2, 15.780756, 31.548553
