t, x1, x2
1, 0, 0
1.1, 0.0041, 0.017877551
1.2, 0.010591061, 0.040382393
1.3, 0.019970594, 0.068121411
1.4, 0.032791751, 0.10163691
1.5, 0.049659271, 0.14143635
1.6, 0.071227153, 0.18800755
1.7, 0.098197294, 0.24182684
1.8, 0.13131868, 0.30336362
1.9, 0.17138687, 0.37308289
2, 0.21924369, 0.45144692
